job_title,company,location,description,salary_min,salary_max,created_date,contract_time,contract_type,salary_avg,python,sql,aws,azure,docker,kubernetes,java,react,power bi,tableau,spark
fx & compositing artist for harmony,Tonic DNA,"Montréal, Québec","description du poste this hybrid role will allow an artist to progressively take on compositing tasks while supporting the fx department. for the compositing aspect, the artist will be responsible for the core tasks of the department: importing color backgrounds, reference animatics and audio as needed. using the animatic and the animation, they will assemble all elements and create camera movements as well as any other necessary animations. finally, the artist will add the effects required for…",,,2026-05-20T04:56:48Z,,,,False,False,False,False,False,False,False,False,False,False,False
associé / vp – algorithmes de négociation électronique,Banque Nationale,"Montréal, Québec","à titre d’associé ou de vice-président au sein de l’équipe développement d’algorithmes de négociation électronique des marchés des capitaux à la banque nationale, vous contribuerez à bâtir et à faire évoluer nos capacités de négociation électronique. vous travaillerez en étroite collaboration avec les négociateurs et les équipes quantitatives afin de livrer des solutions prêtes pour la production - de la conception à l’implémentation de stratégies, tests, suivis et aux améliorations continues. …",,,2026-05-20T00:46:10Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
administrateur de systèmes,Abipa Canada inc.,"Boisbriand, Thérèse-De Blainville","rôle : sous la responsabilité du directeur système et technologie de l’information, cette personne sera responsable d’assurer le bon fonctionnement ainsi que la sécurité des systèmes informatiques de l’entreprise et aura la chance de nous accompagner dans notre modernisation et dans notre grand projet de transformation numérique. principales responsabilités : administrer les serveurs windows ; y compris la conception, l'installation, la configuration, la surveillance, l'application de correctif…",,,2026-05-19T21:55:43Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
senior software developer,Trane Technologies,"Westmount, Montréal","be a part of our mission! as a world leader in creating comfortable, sustainable, and efficient climate solutions for buildings, homes and transportation, it's our responsibility to put the planet first. for us at trane technologies , and through our businesses including trane® and thermo king , sustainability is not just how we do business—it is our business. do you dare to look at the world's challenges and see impactful possibilities? do you want to contribute to making a better future? if t…",,,2026-05-19T20:09:29Z,,,,False,False,False,False,False,False,False,False,False,False,False
valnet | senior accountant,Valnet Inc.,"Montréal, Québec","who we are: valnet inc., the world’s premier digital media investment company, owns and operates over 25 highly authoritative brands across various verticals, including entertainment, sports, technology, automotive, gaming, and travel. specializing in acquiring, operating, and growing properties that are mission-critical in their respective environments, valnet is at the forefront of media investment. with over 25 websites and 36 youtube channels, valnet’s notable acquisitions include, screenra…",,,2026-05-19T18:44:47Z,,,,False,False,False,False,False,False,False,False,False,False,False
directeur(trice) r&d,Valsoft Corporation,"Montréal, Québec","chez progressionlive, nous développons une application web et mobile qui aide les entreprises à planifier, gérer et suivre en temps réel leurs interventions sur le terrain. nous sommes spécialisés dans le domaine du hvac, plomberie et électricité. notre solution est utilisée par des centaines d'organisations partout au canada. elle soutient des secteurs variés comme la construction, le transport, la maintenance et les services. avec progressionlive, nos clients optimisent leurs opérations, rédu…",,,2026-05-19T18:43:18Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
babysitting: cherchons une babysitter à drummondville central (j2c),topnanny.net,"Drummondville, Drummond",nous cherchons des babysitter à drummondville central (j2c) pour mise en contact avec les familles proposant des babysitting et cherchant une garde d’enfant. renseignez votre profil via notre site internet. merci !,,,2026-05-19T17:51:07Z,,,,False,False,False,False,False,False,False,False,False,False,False
(montreal remote) bilingual automotive fixed ops software trainer,Equest,"Montréal, Québec","version franã§aise ci-dessous company name: pbs systems job location: remote (montreal area) job type: full-time, permanent no. of openings: 1 job requirement(s): bilingual; travel across canada and usa approx. 2 weeks per month internal job title: dto bilingual trainer - fixed ops reports to: team lead, dto fixed ops pbs is the fastest growing ""all inclusive business platform"" vendor in north america and we've only just begun! pbs has been transforming how people buy and service cars for almos…",,,2026-05-19T17:48:54Z,,,,False,False,False,False,False,False,False,False,False,False,False
technicien(ne) junior en environnement - programme de rotation,WSP Canada,"Montréal, Québec","et si vous pouviez vous bã¢tir une carriã¨re d'exception? avec nous, c'est possible. vous cherchez du sens , de la croissance , des opportunitã©s . des gens qui comprennent. nous sommes la maison des esprits ambitieux, passionnã©s et innovants. avec une expertise inã©galã©e en ingã©nierie, en conseil et en sciences, nos esprits globaux s'unissent pour offrir des solutions locales. nous sommes des ã©claireurs et des crã©ateurs d'impact. nous sommes visionnaires . nous sommes wsp . l'opportunitã©…",,,2026-05-19T17:48:43Z,,,,False,False,False,False,False,False,False,False,False,False,False
consultant/senior consultant operations m&a,KPMG,"Montréal, Québec","overview at kpmg in canada, our people bring their unique perspectives to canada's most important challenges. here, you can build momentum that reaches beyond our business, develop skills for the future, and take ownership of your career with support at every stage. join a firm where your career can make a difference. kpmg's operations m&a team helps companies identify and deliver real value from major deals, including acquisitions and divestitures, that have lasting impacts on the future of th…",,,2026-05-19T17:47:15Z,,,,False,False,False,False,False,False,False,False,False,False,False
